QR CODE,Name,Company Name,Phone,Email,DATE AND TIME
,,,,,
123456,John Doe,ABC Corp,123-456-7890,john.doe@example.com, 12:16:00
6789456,Jane Smith,XYZ Ltd,987-654-3210,jane.smith@example.com,12:18:00
111222333,Alice Johnson,Tech Innovators,555-123-4567,alice.johnson@example.com, 12:18:10
785544,Bob Brown,Gadget Co,777-888-9999,bob.brown@example.com,12:18:00
4578213,Eva Lee,Data Solutions,111-222-3333 ,eva.lee@example.com,12:19:00
4578223,Harry,AI,111-222-4333 ,ai.co@example.com,12:18:19
457823,Oscar,data scientist,111-222-9333 ,data@example.com,12:19:00
457213,Archie,soft ware,111-222-90333 ,eva.@example.com,12:18:35
4578213,Henry,tainee,111-222-88333 ,traiee.lee@example.com,12:19:02
4578613,Canvan,solution aws,111-222-78333 ,solution.aws.lee@example.com,11:56:00
4570213,Edison,solution gcp,111-222-899333 ,solution.gcp.lee@example.com,11:45:00
457800213,Neville,solution azure,111-222-903 ,solution.azure@example.com,12:18:14
457890213,Newton,haszicorp,111-222-90333 ,solution.hasi@example.com,12:18:10
4578900213,Piers,meta,555-777-333,meta.co@example.com,12:19:00
123409+3,Bailey,Bailiff,111-888-333,meta.co@example.com,12:18:01
123890,Baker,Infosys,111-666-333,infosys.example.com,12:19:01
12345d,Carver,TCS,111-888-333,tcs.example.com,12:19:02
2345hj,Charlton,HCL Tech,123-333-888,hcl.example.com,12:18:05
1234hu+w,Dacre,Asian Paints Ltd,111-888-333,asian.example.com,12:18:45
1243+fg,Elwood,Cipla Ltd,666-333-222,cipla.example.com,12:19:15
67898+00,Jarvis,Eicher Motors,555-777-333,eicher.example.com,12:00
3435+ik,Kendall,Nifty Ltd,111-888-333,nifty.example.com,12:17:35
9870+09,Lester,Life Insurance,111-666-333,life.example.com,12:18:50
67898+00,Percy,P&G Hygine,111-888-333,p&g.example.com,12:19:03
67898+00,Aldous,Nestle Ltd,555-222-666,nestle.example.com,12:18:34
27828+00,Alfred,Deltax,555-777-333,deltax.example.com,12:19:02
78964+00,Cuthbert,CEI INDIA,111-888-333,cei.example.com,11.45:00
67898+00,Earl,Workhall,120-890-230,workhall.example.com,11:23:02
67898+00,Edwin,Zoho,555-777-333,zoho.example.com,12:19:34
5678+00,Hamilton,Accenture,111-888-333,accenture.example.com,12:20:00
87642+00,Milton,CTS,2345-12-890,cts.example.com,12:19:00
